ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9825613,HX475653,10/20/2014 09:57:00 PM,041XX S PULASKI RD,552,ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,STREET,FALSE,FALSE,815,8,14,57,04A,,,2014,04/15/2016 11:16:05 AM,,,
10538625,HZ283176,09/16/2014 07:00:00 PM,042XX W HADDON AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,1111,11,37,23,08A,,,2014,05/29/2016 03:49:31 PM,,,
9607056,HX257173,05/11/2014 02:30:00 AM,0000X N LOTUS AVE,550,ASSAULT,AGGRAVATED PO: HANDGUN,SIDEWALK,FALSE,FALSE,1522,15,28,25,04A,1139956,1899668,2014,06/03/2016 03:49:05 PM,41.88078857,-87.76155744,"(41.880788572, -87.761557443)"
9448278,HX101442,01/02/2014 02:00:00 PM,0000X W 79TH ST,560,ASSAULT,SIMPLE,OTHER,FALSE,FALSE,623,6,17,44,08A,1177182,1852624,2014,02/04/2016 06:33:39 AM,41.75093383,-87.62628838,"(41.75093383, -87.626288377)"
9452396,HX105570,01/07/2014 07:15:00 AM,050XX W AINSLIE ST,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,1623,16,45,11,08A,1141955,1932113,2014,02/04/2016 06:33:39 AM,41.96978423,-87.75341144,"(41.96978423, -87.753411444)"
9468539,HX121841,01/20/2014 11:08:00 PM,082XX S STATE ST,560,ASSAULT,SIMPLE,GAS STATION,FALSE,FALSE,631,6,6,44,08A,1177732,1850157,2014,02/04/2016 06:33:39 AM,41.74415167,-87.62434741,"(41.744151668, -87.62434741)"
9490226,HX144265,02/08/2014 06:36:00 PM,004XX N STATE ST,560,ASSAULT,SIMPLE,SIDEWALK,TRUE,FALSE,1831,18,42,8,08A,1176301,1903170,2014,02/04/2016 06:33:39 AM,41.88965625,-87.62799627,"(41.889656251, -87.627996272)"
9498056,HX152656,02/15/2014 08:00:00 PM,028XX N LONG AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,2514,25,31,19,08A,1139879,1918553,2014,02/04/2016 06:33:39 AM,41.93261261,-87.76137781,"(41.932612613, -87.76137781)"
9597902,HX245789,05/02/2014 03:33:00 PM,059XX W NORTH AVE,530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,FALSE,FALSE,2531,25,29,25,04A,,,2014,08/17/2015 03:03:40 PM,,,
9539333,HX192710,03/20/2014 09:28:00 PM,024XX W DEVON AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,2412,24,50,2,08A,1159060,1942416,2014,02/04/2016 06:33:39 AM,41.99772116,-87.69023114,"(41.997721162, -87.690231142)"
9543787,HX196888,03/24/2014 12:30:00 PM,019XX E 73RD PL,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,333,3,5,43,08A,1190606,1856624,2014,02/04/2016 06:33:39 AM,41.76159693,-87.57696808,"(41.761596927, -87.57696808)"
9549390,HX201237,03/27/2014 07:33:00 PM,038XX W LAKE ST,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,1122,11,28,26,08A,1150857,1901365,2014,02/04/2016 06:33:39 AM,41.88523905,-87.72148503,"(41.885239053, -87.721485033)"
9553833,HX205810,03/30/2014 06:30:00 PM,007XX E 82ND ST,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,TRUE,631,6,6,44,08A,1182512,1850786,2014,02/04/2016 06:33:39 AM,41.74576831,-87.6068137,"(41.745768306, -87.606813695)"
9558112,HX209589,04/03/2014 04:00:00 PM,046XX N CLIFTON AVE,560,ASSAULT,SIMPLE,OTHER,TRUE,FALSE,1913,19,46,3,08A,1167678,1930890,2014,02/04/2016 06:33:39 AM,41.96591153,-87.65886264,"(41.965911528, -87.65886264)"
9563022,HX214712,04/07/2014 06:36:00 PM,075XX S MAY ST,560,ASSAULT,SIMPLE,SIDEWALK,TRUE,FALSE,612,6,17,71,08A,1169959,1854759,2014,02/04/2016 06:33:39 AM,41.75695239,-87.65269504,"(41.756952385, -87.65269504)"
9563215,HX212757,04/06/2014 03:15:00 AM,020XX N CENTRAL PARK AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,FALSE,2525,25,26,22,04A,,,2014,08/17/2015 03:03:40 PM,,,
9567684,HX218181,04/10/2014 12:51:00 PM,039XX W HURON ST,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,TRUE,1112,11,27,23,08A,1150144,1904389,2014,02/04/2016 06:33:39 AM,41.89355115,-87.72402446,"(41.89355115, -87.724024462)"
9569688,HX212090,04/05/2014 03:00:00 PM,068XX N LAKEWOOD AVE,560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,2431,24,49,1,08A,,,2014,08/17/2015 03:03:40 PM,,,
9571880,HX180184,03/10/2014 12:00:00 PM,0000X W WASHINGTON ST,560,ASSAULT,SIMPLE,GOVERNMENT BUILDING/PROPERTY,FALSE,TRUE,111,1,42,32,08A,,,2014,08/17/2015 03:03:40 PM,,,
9573247,HX222125,04/13/2014 01:10:00 PM,018XX W DIVISION ST,560,ASSAULT,SIMPLE,BAR OR TAVERN,TRUE,FALSE,1424,14,1,24,08A,,,2014,08/17/2015 03:03:40 PM,,,
9573928,HX219884,04/11/2014 05:30:00 PM,059XX S MORGAN ST,560,ASSAULT,SIMPLE,GAS STATION,FALSE,FALSE,712,7,16,68,08A,,,2014,08/17/2015 03:03:40 PM,,,
9574160,HX221669,04/13/2014 02:00:00 AM,080XX S ESCANABA AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,422,4,7,46,08A,,,2014,08/17/2015 03:03:40 PM,,,
9575126,HX220775,04/12/2014 11:15:00 AM,073XX S EXCHANGE AVE,530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,NURSING HOME/RETIREMENT HOME,FALSE,FALSE,334,3,7,43,04A,,,2014,08/17/2015 03:03:40 PM,,,
9580492,HX230695,04/20/2014 11:00:00 AM,056XX S WOOD ST,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENTIAL YARD (FRONT/BACK),FALSE,TRUE,715,7,15,67,04A,,,2014,08/17/2015 03:03:40 PM,,,
9582253,HX229421,04/19/2014 11:20:00 AM,002XX S CICERO AVE,530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,FALSE,FALSE,1113,11,28,25,04A,,,2014,08/17/2015 03:03:40 PM,,,
9586055,HX229077,04/19/2014 02:30:00 AM,047XX N VIRGINIA AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,1911,19,47,4,08A,,,2014,08/17/2015 03:03:40 PM,,,
9589323,HX238138,04/26/2014 11:30:00 AM,057XX S INDIANA AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,232,2,20,40,08A,,,2014,08/17/2015 03:03:40 PM,,,
9589584,HX217892,04/09/2014 02:45:00 PM,060XX N KILPATRICK AVE,545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,1711,17,39,12,08A,,,2014,08/17/2015 03:03:40 PM,,,
9590595,HX238846,04/26/2014 11:00:00 PM,031XX S GREEN ST,051A,ASSAULT,AGGRAVATED: HANDGUN,CHA PARKING LOT/GROUNDS,FALSE,FALSE,913,9,11,60,04A,,,2014,08/17/2015 03:03:40 PM,,,
9591678,HX239352,04/27/2014 02:15:00 PM,040XX S KEDZIE AVE,560,ASSAULT,SIMPLE,OTHER,FALSE,FALSE,921,9,14,58,08A,,,2014,08/17/2015 03:03:40 PM,,,
9597699,HX248126,05/04/2014 12:25:00 PM,069XX N SHERIDAN RD,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,FALSE,FALSE,2431,24,49,1,04A,,,2014,08/17/2015 03:03:40 PM,,,
9597722,HX244946,05/01/2014 10:15:00 PM,043XX S MICHIGAN AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,215,2,3,38,08A,,,2014,08/17/2015 03:03:40 PM,,,
9598094,HX245426,05/02/2014 11:35:00 AM,063XX S DAMEN AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,726,7,15,67,08A,,,2014,08/17/2015 03:03:40 PM,,,
9607458,HX255244,05/09/2014 06:35:00 PM,047XX W OHIO ST,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,TRUE,FALSE,1111,11,28,25,04A,,,2014,08/17/2015 03:03:40 PM,,,
9607548,HX257526,05/11/2014 02:20:00 PM,022XX S CALIFORNIA AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,FALSE,1033,10,12,30,04A,,,2014,08/17/2015 03:03:40 PM,,,
9608511,HX254285,05/09/2014 01:45:00 AM,014XX S HOMAN AVE,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,FALSE,TRUE,1021,10,24,29,04A,,,2014,08/17/2015 03:03:40 PM,,,
9610762,HX260954,05/14/2014 05:45:00 AM,027XX W HARRISON ST,560,ASSAULT,SIMPLE,OTHER,FALSE,FALSE,1135,11,2,27,08A,1158248,1897253,2014,02/04/2016 06:33:39 AM,41.87380752,-87.69445629,"(41.873807522, -87.69445629)"
9611792,HX256605,05/10/2014 07:19:00 PM,048XX S WOLCOTT AVE,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,931,9,20,61,08A,,,2014,08/17/2015 03:03:40 PM,,,
